group_id,quarter_issue_date_dt,Treated,Count,Post,log_Count
A41H,2012-12-31,0,1,0,0.0
A41H,2014-09-30,0,1,1,0.0
A41H,2014-09-30,1,1,1,0.0
A41H,2015-03-31,0,1,1,0.0
A41H,2015-09-30,0,1,1,0.0
A42B,2016-09-30,0,1,1,0.0
A43B,2012-03-31,0,1,0,0.0
A43B,2012-09-30,0,1,0,0.0
A43B,2013-06-30,0,2,0,0.6931471805599453
A43B,2013-12-31,0,2,0,0.6931471805599453
A43B,2014-03-31,0,1,0,0.0
A43B,2014-09-30,0,1,1,0.0
A43B,2014-12-31,0,2,1,0.6931471805599453
A43B,2015-03-31,0,2,1,0.6931471805599453
A43B,2015-06-30,0,1,1,0.0
A43B,2015-09-30,0,1,1,0.0
A43B,2016-06-30,0,2,1,0.6931471805599453
A43B,2016-12-31,0,1,1,0.0
A43D,2012-03-31,0,1,0,0.0
A43D,2014-03-31,1,1,0,0.0
A43D,2015-06-30,0,1,1,0.0
A43D,2016-06-30,1,1,1,0.0
A43D,2016-09-30,0,1,1,0.0
A44B,2016-06-30,0,1,1,0.0
A44C,2012-06-30,0,1,0,0.0
A44C,2013-09-30,0,1,0,0.0
A44C,2015-03-31,0,1,1,0.0
A44C,2015-09-30,0,1,1,0.0
A44C,2015-12-31,0,2,1,0.6931471805599453
A44C,2016-03-31,0,1,1,0.0
A44C,2016-06-30,0,1,1,0.0
A44C,2016-09-30,0,3,1,1.0986122886681098
A44C,2016-12-31,0,1,1,0.0
A45C,2012-03-31,0,1,0,0.0
A45C,2012-06-30,0,4,0,1.3862943611198906
A45C,2012-12-31,0,2,0,0.6931471805599453
A45C,2013-03-31,0,1,0,0.0
A45C,2013-06-30,0,2,0,0.6931471805599453
A45C,2013-09-30,0,4,0,1.3862943611198906
A45C,2013-12-31,0,2,0,0.6931471805599453
A45C,2014-03-31,0,3,0,1.0986122886681098
A45C,2014-03-31,1,1,0,0.0
A45C,2014-06-30,0,4,1,1.3862943611198906
A45C,2014-09-30,0,5,1,1.6094379124341003
A45C,2014-12-31,0,7,1,1.9459101490553132
A45C,2015-03-31,0,2,1,0.6931471805599453
A45C,2015-06-30,0,4,1,1.3862943611198906
A45C,2015-09-30,0,5,1,1.6094379124341003
A45C,2015-12-31,0,9,1,2.1972245773362196
A45C,2015-12-31,1,1,1,0.0
A45C,2016-03-31,0,3,1,1.0986122886681098
A45C,2016-06-30,0,4,1,1.3862943611198906
A45C,2016-09-30,0,7,1,1.9459101490553132
A45C,2016-12-31,0,4,1,1.3862943611198906
A45D,2013-03-31,0,1,0,0.0
A45D,2013-09-30,0,1,0,0.0
A45D,2013-12-31,0,1,0,0.0
A45D,2015-03-31,0,1,1,0.0
A45D,2015-03-31,1,1,1,0.0
A45D,2015-12-31,1,1,1,0.0
A45D,2016-03-31,0,1,1,0.0
A45D,2016-09-30,0,1,1,0.0
A45D,2016-12-31,0,1,1,0.0
A45D,2016-12-31,1,1,1,0.0
A45F,2012-09-30,0,1,0,0.0
A45F,2013-03-31,0,2,0,0.6931471805599453
A45F,2013-09-30,0,2,0,0.6931471805599453
A45F,2014-06-30,0,1,1,0.0
A45F,2014-06-30,1,1,1,0.0
A45F,2014-09-30,0,1,1,0.0
A45F,2015-06-30,0,1,1,0.0
A45F,2015-09-30,0,1,1,0.0
A45F,2015-12-31,0,2,1,0.6931471805599453
A45F,2016-03-31,0,3,1,1.0986122886681098
A45F,2016-09-30,0,1,1,0.0
A46B,2013-09-30,0,1,0,0.0
A46B,2014-03-31,0,1,0,0.0
A46B,2014-06-30,0,1,1,0.0
A46B,2015-03-31,0,2,1,0.6931471805599453
A46B,2016-12-31,0,1,1,0.0
A47B,2012-03-31,0,1,0,0.0
A47B,2012-06-30,0,2,0,0.6931471805599453
A47B,2012-09-30,0,7,0,1.9459101490553132
A47B,2012-12-31,0,2,0,0.6931471805599453
A47B,2013-03-31,0,4,0,1.3862943611198906
A47B,2013-06-30,0,1,0,0.0
A47B,2013-09-30,0,1,0,0.0
A47B,2013-12-31,0,1,0,0.0
A47B,2014-06-30,0,1,1,0.0
A47B,2014-09-30,0,2,1,0.6931471805599453
A47B,2014-12-31,0,2,1,0.6931471805599453
A47B,2015-03-31,0,1,1,0.0
A47B,2015-06-30,0,3,1,1.0986122886681098
A47B,2015-09-30,0,5,1,1.6094379124341003
A47B,2015-09-30,1,1,1,0.0
A47B,2015-12-31,0,2,1,0.6931471805599453
A47B,2016-03-31,0,6,1,1.791759469228055
A47B,2016-06-30,0,1,1,0.0
A47B,2016-09-30,0,2,1,0.6931471805599453
A47B,2016-12-31,0,1,1,0.0
A47C,2012-06-30,0,1,0,0.0
A47C,2013-03-31,0,2,0,0.6931471805599453
A47C,2013-06-30,1,1,0,0.0
A47C,2013-12-31,0,1,0,0.0
A47C,2014-03-31,0,2,0,0.6931471805599453
A47C,2014-09-30,0,3,1,1.0986122886681098
